symbol,variable,coef,std_err,t,P>|t|,[0.025,0.975],score
AAPL,const,7.750832524866269,13.995919012198792,0.553792324613387,0.5828824360059817,-20.558585778678093,36.06025082841063,0.8625129079401096
AAPL,adj_open,0.9690954448614895,0.06105497955189872,15.872504617542731,1.3030164639233547e-18,0.8456000920988338,1.0925907976241451,0.8625129079401096
AMZN,const,-1.3864266337713502,9.201892894823253,-0.15066754738596425,0.8810145687219465,-19.999011839281124,17.226158571738424,0.9207011933437601
AMZN,adj_open,1.0085158249565223,0.04674763364121661,21.573623013664815,2.763783786131371e-23,0.9139598108572284,1.103071839055816,0.9207011933437601
AXP,const,9.678601895538236,11.289946001135522,0.857276190210722,0.39652978312053355,-13.157469368663918,32.51467315974039,0.9361567018742657
AXP,adj_open,0.9665210962700816,0.03987446032625119,24.23910162951538,4.001456722640377e-25,0.8858673874268073,1.047174805113356,0.9361567018742657
BA,const,26.685342383646457,12.707797937697269,2.099918688861526,0.042255077264593786,0.9813948814043236,52.38928988588859,0.7034417262167272
BA,adj_open,0.8226399903629821,0.08401254183573983,9.791871218125937,4.626551613409452e-12,0.6527085848226226,0.9925713959033415,0.7034417262167272
CRM,const,9.306386961779523,10.837664115701312,0.8587078232380984,0.3957489387595923,-12.614857839457748,31.227631763016795,0.9505616524056254
CRM,adj_open,0.9719919456186021,0.03502614479042824,27.750469012057046,2.7142753087990353e-27,0.9011448805871101,1.0428390106500942,0.9505616524056254
CSCO,const,2.5071189265617875,2.29091858105008,1.0943727757503317,0.28050465081097037,-2.1267012858717083,7.140939138995283,0.9332119007295722
CSCO,adj_open,0.9583313195283027,0.04050017699363649,23.662398307021686,9.654573267939328e-25,0.8764119792633925,1.040250659793213,0.9332119007295722
GS,const,16.723528758945577,17.241871659610464,0.9699369702490526,0.338055137857612,-18.151448491387654,51.59850600927881,0.9605466149428721
GS,adj_open,0.9696129294649496,0.03105477967355035,31.22266329555634,3.3185818850780364e-29,0.9067987085955171,1.032427150334382,0.9605466149428721
IBM,const,-1.0800377075179597,7.991838069852777,-0.13514259148870064,0.893194234288079,-17.245056005813282,15.084980590777363,0.9506002278785911
IBM,adj_open,1.006267924842616,0.036246428551152905,27.76185034126926,2.6732232587190848e-27,0.9329526029284378,1.0795832467567943,0.9506002278785911
JPM,const,11.239817936786665,9.405986666135712,1.1949642643289382,0.23931740195339254,-7.78558588679288,30.26522176036621,0.9322727278410367
JPM,adj_open,0.9516932969937695,0.04052129296893173,23.486251974324876,1.2682141841929914e-24,0.8697312456373618,1.0336553483501771,0.9322727278410367
MA,const,73.48393713302107,37.71348236035545,1.9484792316677617,0.05857886203207191,-2.7987812002364336,149.76665546627856,0.7727311606701098
MA,adj_open,0.8566926730621804,0.07319139028808279,11.704828528194652,2.4726900333301367e-14,0.7086491125016087,1.0047362336227523,0.7727311606701098
MSFT,const,91.61546533896262,44.73535448104199,2.047943207374998,0.04734128093637767,1.129670025533187,182.10126065239206,0.569564707106025
MSFT,adj_open,0.7828981291096646,0.10660886892627454,7.34364914471683,7.2647034899561685e-09,0.5672613379371,0.9985349202822292,0.569564707106025
NFLX,const,-15.667472398135715,25.465450833294458,-0.6152442578260382,0.541967110957607,-67.17620857328296,35.84126377701154,0.9619047991768089
NFLX,adj_open,1.023704826337625,0.03219578009265537,31.79624234578359,1.6749262778428001e-29,0.9585827142807106,1.0888269383945393,0.9619047991768089
NKE,const,7.153426012925822,4.120039713932327,1.736251713481255,0.09041421664469511,-1.1801409066359483,15.486992932487592,0.8823914705370888
NKE,adj_open,0.9079518508381116,0.05232379423009726,17.352561376671858,6.135588883248169e-20,0.802116987347022,1.0137867143292012,0.8823914705370888
NVDA,const,25.54350254081352,10.260260659740311,2.4895568824135537,0.017162257389331484,4.790166467146413,46.29683861448063,0.7551498803657658
NVDA,adj_open,0.8161838957119243,0.07318776837266996,11.151916691269228,1.0684076239131333e-13,0.6681476611667712,0.9642201302570774,0.7551498803657658
PG,const,4.433919263280757,9.207627677641641,0.4815484963675704,0.6328178762641459,-14.190265635364153,23.058104161925666,0.8898167837587467
PG,adj_open,0.9750693890441728,0.05416787202971981,18.00088045750053,1.713474533820832e-20,0.8655045261319454,1.0846342519564003,0.8898167837587467
TSLA,const,3.7290739695179838,7.48484022222488,0.49821691028823467,0.621129279726681,-11.41044438590221,18.868592324938177,0.972733154773133
TSLA,adj_open,0.9860125551157009,0.02609281394058445,37.78866309172077,2.4527694187807056e-32,0.9332348572798721,1.0387902529515296,0.972733154773133
UNH,const,48.61213876432123,28.82500464673244,1.6864572741649784,0.09969270309481457,-9.691936404641908,106.91621393328437,0.8968264527146455
UNH,adj_open,0.9178917884060869,0.04915501470788762,18.673410919736703,4.738514050502409e-21,0.8184663864821692,1.0173171903300047,0.8968264527146455
V,const,5.0924913189439,8.260435563760538,0.6164918640955488,0.5411520920172088,-11.61581669142328,21.80079932931108,0.9688979592264013
V,adj_open,0.9836879420858217,0.02785534756499988,35.31415071344582,3.198552887797095e-31,0.9273451834916283,1.040030700680015,0.9688979592264013
VZ,const,2.5106022878508227,2.292058904408777,1.0953480658903125,0.2800826259295769,-2.1255244462862155,7.146729021987861,0.8833906728154572
VZ,adj_open,0.9410099432336205,0.05396833751664462,17.43633371962587,5.1924527735160876e-20,0.8318486769692242,1.050171209498017,0.8833906728154572
WMT,const,-1.2608708198826406,2.5839626533555045,-0.48796015617535654,0.6283102462246049,-6.487428616538915,3.9656869767736334,0.9648270994891103
WMT,adj_open,1.0158624385568862,0.030653949599245976,33.13969168207526,3.5275709752354656e-30,0.9538589730392268,1.0778659040745455,0.9648270994891103
